query_id;query_text;rank;document_id;document_title;score;relevant
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";1;51;"theory of aircraft structural models subjected to aerodynamic
heating and external loads .";24.110905576590508;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";2;486;similarity laws for aerothermoelastic testing .;22.095892060249657;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";3;184;scale models for thermo-aeroelastic research .;20.809722595441833;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";4;573;viscous hypersonic similitude .;18.526298810737693;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";5;12;"some structural and aerelastic considerations of high
speed flight .";18.492214899587037;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";6;878;"experimental model techniques and equipment for flutter
investigations .";16.17736146698001;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";7;665;"on the theory of hypersonic gas flow with a power law
shock wave .";14.616412001980208;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";8;14;"piston theory - a new aerodynamic tool for the
aeroelastician .";14.535066348031682;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";9;1268;"stable combustion of a high-velocity gas in a heated
boundary layer .";14.371649612121445;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";10;1361;"large deflections of structures subjected to heating
and external loads .";14.299156330458262;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";1;493;"real-gas laminar boundary layer skin friction and heat
transfer .";24.866805127988624;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";2;302;"approximations for the thermodynamic and transport properties of high
temperature air .";24.43399042084608;True
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";3;1143;"a one-foot hypervelocity shock tunnel in which high-enthalpy
real gas flows can be generated with flow times of
about 180 milliseconds .";20.419941705057926;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";4;949;"charts for equilibrium flow properties of air in
hyper-velocity nozzles .";19.389941483957625;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";5;1199;"theoretical investigations of a supersonic laminar
boundary layer with foreign-gas injection .";17.556800527145747;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";6;332;"similitude of hypersonic real-gas flows over slender
bodies with blunted noses .";17.26406164505477;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";7;524;"stagnation point heat transfer in partially ionized
air .";17.152575203654823;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";8;1286;"equilibrium real-gas performance charts for a shypersonic
shock-tube wind-tunnel employing nitrogen .";16.74139630848504;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";9;691;"calculation procedure for thermodynamic transport, and flow properties
of the combustion products of a hydrocarbon fuel mixture burned in air
with results for ethylene-air and methane-air mixtures .";16.257732060450962;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";10;1010;free-flight measurements of the static and dynamic .;16.114778746823056;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";1;1122;"on the role of initial imperfections in plastic buckling
of cylinders under axial compression .";33.375163767252744;True
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";2;760;"inelastic buckling of initially imperfect cylindrical
shells subject to axial compression .";33.07135338842312;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";3;822;"effects of imperfections on buckling of thin cylinders
and columns under axial compression .";32.3728602492159;True
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";4;1068;"instability analysis of cylindrical shells under hydrostatic
pressure .";29.56056525163849;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";5;739;"the buckling of thin cylindrical shells under axial
compression .";28.201018656866804;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";6;1126;"an engineer's conceptual approach to the buckling of
cylindrical shell (axial loading) .";28.102250369001688;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";7;885;"buckling of thin cylindrical shells under hoop stresses
varying in axial direction .";27.47824456931615;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";8;1051;"the stability of thin-walled unstiffened circular cylinders
under axial compression including the effects of internal
pressure .";27.187948024805927;True
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";9;897;"some results on buckling and postbuckling of cylindrical
shells .";27.1369080831681;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";10;740;"the behaviour of a cylindrical shell under axial compression
when the buckling load has been exceeded .";27.086983702467002;False
101;"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .";1;819;"stresses in the plastic range around a normally loaded
circular hole in an infinite sheet .";31.32789327739998;True
101;"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .";2;817;loading paths and the incremental stress law .;29.476728066731305;True
